FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c9,27,Dybbølsbro,19130,Station/Metro,POINT (12.559671180223292 55.66497596106513),12.55967118,55.66497596
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c8,28,Vanløse,19130,Station/Metro,POINT (12.490777163002031 55.687239555215825),12.49077716,55.68723956
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c7,29,Nordhavn,19130,Station/Metro,POINT (12.59110581759976 55.70470093422172),12.59110582,55.70470093
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c6,30,Ryparken,19130,Station/Metro,POINT (12.559322340388302 55.715246484272505),12.55932234,55.71524648
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c5,31,Emdrup,19130,Station/Metro,POINT (12.541432309511189 55.71996852645242),12.54143231,55.71996853
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c4,32,Bispebjerg,19130,Station/Metro,POINT (12.541397133009148 55.70624425980155),12.54139713,55.70624426
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c3,33,Sjælør,19130,Station/Metro,POINT (12.526843417128287 55.65160991658146),12.52684342,55.65160992
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c2,34,Sydhavn,19130,Station/Metro,POINT (12.537151111009956 55.654359325182085),12.53715111,55.65435933
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c1,35,Enghave,19130,Station/Metro,POINT (12.539718327041298 55.66312348549086),12.53971833,55.66312349
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7c0,36,Nørrebro,19130,Station/Metro,POINT (12.537567648174145 55.70053640363918),12.53756765,55.7005364
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7bf,37,Grøndal,19130,Station/Metro,POINT (12.515410203139574 55.69060911022438),12.5154102,55.69060911
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7be,38,Jyllingevej,19130,Station/Metro,POINT (12.477272540542272 55.690567117472895),12.47727254,55.69056712
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7bd,39,Islev,19130,Station/Metro,POINT (12.468948856556219 55.699398594015484),12.46894886,55.69939859
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7bc,40,Husum,19130,Station/Metro,POINT (12.463563449187623 55.70972128669046),12.46356345,55.70972129
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7bb,41,Hellerup,19130,Station/Metro,POINT (12.566591784094207 55.731415247622394),12.56659178,55.73141525
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ba,42,Svanemøllen,19130,Station/Metro,POINT (12.578137965246496 55.715698486630714),12.57813797,55.71569849
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b9,43,Forum,19130,Station/Metro,POINT (12.552502528319485 55.68183658102229),12.55250253,55.68183658
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b8,44,Frederiksberg,19130,Station/Metro,POINT (12.531254297000974 55.68124300422948),12.5312543,55.681243
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b7,45,Fasanvej (Solbjerg),19130,Station/Metro,POINT (12.523531413011062 55.68161867111091),12.52353141,55.68161867
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b6,46,Lindevang,19130,Station/Metro,POINT (12.513337030500862 55.68339344818599),12.51333703,55.68339345
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b5,47,Flintholm,19130,Station/Metro,POINT (12.499646450888052 55.68592249094199),12.49964645,55.68592249
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b4,48,Peter Bangs Vej,19130,Station/Metro,POINT (12.503343020635267 55.67817189737545),12.50334302,55.6781719
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b3,49,Flintholm,19130,Station/Metro,POINT (12.498358619148766 55.68532663348152),12.49835862,55.68532663
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b2,50,Fuglebakken,19130,Station/Metro,POINT (12.526992048800484 55.695357790993945),12.52699205,55.69535779
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b1,51,Hvidovre,19130,Station/Metro,POINT (12.47451627991452 55.66443747336565),12.47451628,55.66443747
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7b0,52,Avedøre,19130,Station/Metro,POINT (12.456306836488515 55.625823170306084),12.45630684,55.62582317
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7af,53,Friheden,19130,Station/Metro,POINT (12.482109730163748 55.629142659275466),12.48210973,55.62914266
